header_rows,Date,Site Number,Turbidity,Grade,Notes,,Grading Scale,,,,
unit,MM-DD-YY,-9999,ntu,N/A,N/A,,Turbidity,Letter Grade,,Site 1; first site before city discharge,1
#start_data,1/4/2001,1,2.2,A,N/A,,< 5,A,,Site 9; last site in City flow,9
N/A,1/4/2001,9,3.5,A,N/A,,5 to 20,B,,,
N/A,2/1/2001,1,5,A,N/A,,21 to 50,C,,,
N/A,2/1/2001,9,,N/A,N/A,,50 to 150,D,,,
N/A,3/1/2001,1,,N/A,N/A,,> 150,F,,,
N/A,3/1/2001,9,4,A,N/A,,No Grade,N/A,,,
N/A,4/4/2001,1,,N/A,N/A,,,,,,
N/A,4/4/2001,9,,N/A,N/A,,,,,,
N/A,5/3/2001,1,,N/A,N/A,,,,,,
N/A,5/3/2001,9,3.4,A,N/A,,Calculations:,,,,
N/A,6/7/2001,1,3.4,A,N/A,,Average of Turbidity for all sites and dates,,,4.35923529411765,A
N/A,6/7/2001,9,3.8,A,Break between school years,,Median of Tubidity for all sites and dates,,,2.75,A
N/A,10/12/2001,1,2,A,N/A,,,,,,
N/A,10/12/2001,9,3,A,N/A,,,,,,
N/A,11/9/2001,1,2.9,A,N/A,,,,,,
N/A,11/9/2001,9,,N/A,N/A,,,,,,
N/A,12/14/2001,1,,N/A,Rained evening before sampling,,,,,,
N/A,12/14/2001,9,15.9,B,Rained evening before sampling,,,,,,
N/A,1/11/2002,1,8.3,B,N/A,,,,,,
N/A,1/11/2002,9,,N/A,N/A,,,,,,
N/A,2/8/2002,1,4,A,N/A,,,,,,
N/A,2/8/2002,9,8.7,B,N/A,,,,,,
N/A,3/8/2002,1,5.5,B,N/A,,,,,,
N/A,3/8/2002,9,4.1,A,N/A,,,,,,
N/A,4/12/2002,1,2.2,A,N/A,,,,,,
N/A,4/12/2002,9,3.5,A,N/A,,,,,,
N/A,5/10/2002,1,3.9,A,N/A,,,,,,
N/A,5/10/2002,9,2.1,A,N/A,,,,,,
N/A,9/13/2002,1,3.7,A,N/A,,,,,,
N/A,9/13/2002,9,,N/A,N/A,,,,,,
N/A,10/11/2002,1,3.8,A,N/A,,,,,,
N/A,10/11/2002,9,3.4,A,N/A,,,,,,
N/A,11/2/2002,1,6.4,B,N/A,,,,,,
N/A,11/2/2002,9,20,B,"Boards pulled from dam on Mok. River - end of irrigation season, river level dropped, lake mostly drained",,,,,,
N/A,12/13/2002,1,5.4,B,N/A,,,,,,
N/A,12/13/2002,9,11.9,B,"Second major storm event of season, rainfall 0.7"" in previous 24 hours",,,,,,
N/A,1/3/2003,1,5.4,A,N/A,,,,,,
N/A,1/3/2003,9,8.7,B,N/A,,,,,,
N/A,2/14/2003,1,4.1,A,N/A,,,,,,
N/A,2/14/2003,9,4.1,A,N/A,,,,,,
N/A,3/14/2003,1,,N/A,N/A,,,,,,
N/A,3/14/2003,9,4.8,A,N/A,,,,,,
N/A,4/11/2003,1,,N/A,N/A,,,,,,
N/A,4/11/2003,9,2.6,A,N/A,,,,,,
N/A,5/9/2003,1,1.4,A,N/A,,,,,,
N/A,5/9/2003,9,4.6,A,N/A,,,,,,
N/A,9/12/2003,1,5.4,B,N/A,,,,,,
N/A,9/12/2003,9,4.1,A,N/A,,,,,,
N/A,10/10/2003,1,2.1,A,N/A,,,,,,
N/A,10/10/2003,9,4.7,A,N/A,,,,,,
N/A,11/14/2003,1,4.7,A,N/A,,,,,,
N/A,11/14/2003,9,6.2,B,N/A,,,,,,
N/A,12-N/A-03,1,4.1,A,Date of day is not listed on sheet,,,,,,
N/A,12-N/A-03,9,4.9,A,N/A,,,,,,
N/A,1/9/2004,1,4,A,N/A,,,,,,
N/A,1/9/2004,9,7.5,B,N/A,,,,,,
N/A,2/13/2004,1,3.6,A,N/A,,,,,,
N/A,2/13/2004,9,5.5,B,N/A,,,,,,
N/A,3/12/2004,1,4.1,A,N/A,,,,,,
N/A,3/12/2004,9,4.8,A,N/A,,,,,,
N/A,4/9/2004,1,3.1,A,N/A,,,,,,
N/A,4/9/2004,9,5.1,B,N/A,,,,,,
N/A,5/14/2004,1,2.7,A,N/A,,,,,,
N/A,5/14/2004,9,3.3,A,N/A,,,,,,
N/A,6/11/2004,1,2.1,A,N/A,,,,,,
N/A,6/11/2004,9,3.4,A,N/A,,,,,,
N/A,7/9/2004,1,3.1,A,N/A,,,,,,
N/A,7/9/2004,9,3.4,A,N/A,,,,,,
N/A,8/13/2004,1,3,A,N/A,,,,,,
N/A,8/13/2004,9,2.2,A,N/A,,,,,,
N/A,9/10/2004,1,2.4,A,N/A,,,,,,
N/A,9/10/2004,9,3.1,A,N/A,,,,,,
N/A,10/8/2004,1,2.4,A,N/A,,,,,,
